,CashbackAmount,Tenure,CityTier,WarehouseToHome,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,DaySinceLastOrder,PreferredPaymentMode,PreferedOrderCat,Gender_Female,Gender_Male,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
4256,174.99,1.0,3,10.0,4,3,2,0,3.0,6,2,1,0,0,1,0
5560,154.91,12.0,2,8.0,4,4,2,1,3.0,6,4,0,1,0,1,0
4993,150.39,1.0,1,13.0,5,3,3,0,3.0,4,4,0,1,0,1,0
1238,154.87,6.0,3,16.0,3,3,2,0,9.0,5,2,0,1,0,0,1
4273,152.74,1.0,1,25.0,4,3,2,0,3.0,4,4,0,1,0,1,0
1403,159.15,4.0,1,13.0,3,1,4,0,7.0,4,2,0,1,0,1,0
5466,221.37,5.0,3,14.0,4,5,4,0,0.0,5,0,1,0,0,1,0
4147,145.01,14.0,1,9.0,4,3,4,0,3.0,3,4,1,0,0,1,0
82,121.53,0.0,1,24.0,3,2,2,0,7.0,0,3,1,0,0,0,1
5536,172.71,12.0,1,16.0,4,1,4,0,4.0,4,4,0,1,0,1,0
4160,184.93,5.0,3,7.0,4,1,10,1,6.0,4,2,1,0,0,0,1
4644,179.6,5.0,3,13.0,2,1,6,0,8.0,3,2,0,1,0,1,0
1551,123.28,0.0,1,14.0,1,4,2,1,2.0,4,3,0,1,0,1,0
5226,163.38,7.0,1,11.0,5,4,10,0,3.0,3,4,1,0,0,1,0
2819,154.6,1.0,1,13.0,4,5,4,0,4.0,3,4,0,1,0,0,1
3483,147.07,2.0,1,22.0,4,3,3,0,3.0,4,4,0,1,0,1,0
1001,293.31,23.0,3,5.0,3,3,5,1,0.0,5,5,0,1,0,1,0
5501,166.97,5.0,1,27.0,4,3,3,0,3.0,4,2,0,1,0,1,0
894,156.47,9.0,3,22.0,4,5,5,0,2.0,5,2,1,0,1,0,0
2668,127.06,1.0,2,7.0,3,1,2,0,2.0,4,3,0,1,0,1,0
5576,169.4,12.0,3,8.0,4,4,2,0,9.0,4,2,0,1,0,1,0
4069,153.63,1.0,2,29.0,5,4,3,0,1.0,6,4,1,0,0,1,0
5554,221.79,6.0,1,12.0,5,1,10,0,0.0,4,2,0,1,0,0,1
3089,147.18,5.0,1,7.0,5,5,3,0,3.0,4,4,0,1,1,0,0
241,193.55,4.0,3,10.0,3,4,2,0,7.0,5,2,0,1,0,0,1
4403,158.19,14.0,1,31.0,4,1,3,0,8.0,1,2,0,1,0,1,0
1964,140.37,6.0,3,6.0,1,5,2,0,8.0,3,2,0,1,0,1,0
4317,158.46,31.0,1,16.0,5,4,6,1,1.0,3,4,1,0,0,1,0
897,135.0,10.0,1,11.0,1,3,1,0,3.0,1,3,0,1,0,0,1
607,124.22,0.0,1,14.0,3,4,1,0,2.0,0,3,1,0,0,0,1
3977,180.38,16.0,1,20.0,2,5,7,0,1.0,3,2,0,1,0,1,0
167,127.88999999999999,4.0,3,11.0,3,4,2,0,2.0,5,3,1,0,0,1,0
507,125.15,15.0,1,14.0,3,2,6,1,2.0,0,3,0,1,0,0,1
1790,268.35,28.0,3,24.0,3,4,4,0,8.0,4,1,1,0,0,0,1
298,184.12,3.0,3,28.0,3,5,1,0,8.0,6,0,1,0,1,0,0
4208,182.72,20.0,3,12.0,4,1,6,1,9.0,5,2,0,1,0,0,1
5584,175.98,9.0,1,16.0,4,3,3,0,9.0,3,2,0,1,0,0,1
1149,154.68,4.0,3,35.0,4,1,2,0,7.0,5,2,1,0,0,1,0
2424,183.76,12.0,1,12.0,3,4,5,0,2.0,4,0,1,0,0,0,1
408,204.75,13.0,3,11.0,4,5,6,1,12.0,4,0,0,1,1,0,0
1161,133.77,13.0,1,8.0,3,5,5,0,2.0,4,3,1,0,0,1,0
2580,203.68,19.0,3,8.0,3,1,5,1,3.0,4,0,0,1,0,1,0
4295,174.41,10.0,1,13.0,4,4,8,0,2.0,3,2,0,1,0,1,0
5413,176.47,7.0,3,9.0,4,4,10,0,8.0,5,2,1,0,0,0,1
2520,152.95,12.0,1,18.0,3,4,5,0,0.0,3,2,0,1,0,1,0
974,174.41,18.0,1,6.0,3,4,2,0,7.0,1,0,0,1,0,1,0
4915,301.5,19.0,3,18.0,4,1,5,0,2.0,4,1,1,0,0,1,0
3594,307.65,22.0,1,7.0,5,2,8,0,1.0,4,5,0,1,0,0,1
2681,126.62,28.0,1,8.0,4,1,9,0,4.0,1,3,0,1,0,1,0
319,140.51,21.0,3,8.0,3,2,3,0,7.0,5,2,1,0,1,0,0
3314,234.33999999999997,27.0,3,14.0,5,2,9,1,5.0,5,0,1,0,1,0,0
560,142.94,0.0,3,6.0,4,5,2,0,7.0,3,2,0,1,0,0,1
4916,165.25,6.0,1,36.0,4,3,11,0,8.0,3,4,1,0,0,0,1
472,160.62,15.0,1,6.0,4,2,10,1,2.0,4,2,1,0,1,0,0
2240,168.33,4.0,1,17.0,3,5,2,1,1.0,3,2,0,1,0,1,0
1203,135.4,0.0,3,29.0,4,3,2,0,8.0,3,2,1,0,0,1,0
4125,149.36,18.0,1,7.0,4,1,8,1,3.0,3,4,0,1,0,0,1
2778,149.07,0.0,3,14.0,3,3,1,1,4.0,6,2,1,0,0,1,0
2279,120.96000000000001,0.0,1,7.0,3,4,2,0,1.0,0,3,1,0,0,0,1
4078,191.67,6.0,1,22.0,4,1,7,0,3.0,3,2,1,0,0,1,0
4083,166.05,1.0,3,16.0,4,1,3,0,8.0,5,2,0,1,0,0,1
1943,143.82,0.0,1,8.0,3,3,7,0,1.0,3,4,0,1,0,0,1
5327,179.4,1.0,3,22.0,6,1,8,1,3.0,3,2,0,1,0,1,0
2123,146.15,19.0,1,14.0,4,5,9,1,7.0,4,2,1,0,0,1,0
2867,136.02,1.0,1,9.0,5,2,3,0,1.0,4,4,0,1,0,0,1
50,142.57,29.0,1,14.0,3,5,5,1,2.0,4,4,1,0,0,1,0
4421,177.49,12.0,3,9.0,5,1,5,0,6.0,4,2,0,1,0,1,0
424,161.42,7.0,1,14.0,3,3,4,0,3.0,3,2,1,0,0,0,1
1595,200.48,0.0,1,16.0,3,3,7,0,0.0,3,0,0,1,0,1,0
3558,156.96,2.0,1,26.0,5,5,3,0,4.0,3,4,0,1,1,0,0
3664,175.71,1.0,3,9.0,6,2,5,0,1.0,4,2,0,1,0,0,1
4620,168.06,1.0,3,36.0,4,3,7,0,1.0,3,2,0,1,0,1,0
4194,147.93,1.0,1,7.0,4,1,4,1,1.0,3,4,0,1,0,1,0
5525,135.91,1.0,3,31.0,2,5,3,0,1.0,1,4,0,1,0,0,1
1045,125.80000000000001,0.0,1,14.0,3,1,3,0,2.0,0,3,0,1,0,0,1
4019,153.04,3.0,2,13.0,5,4,3,0,1.0,3,4,0,1,0,1,0
5140,152.85,1.0,3,9.0,5,1,9,0,1.0,4,4,1,0,0,0,1
3754,145.64,4.0,2,7.0,4,3,2,0,4.0,4,4,0,1,0,1,0
5304,178.32,5.0,3,9.0,4,5,9,0,4.0,6,2,0,1,0,0,1
253,153.04,0.0,3,25.0,2,2,9,1,4.0,5,2,0,1,0,0,1
2239,277.79,27.0,1,9.0,3,1,4,0,9.0,4,1,0,1,0,1,0
4702,203.61,12.0,1,7.0,4,3,6,1,1.0,4,0,1,0,0,0,1
1166,142.13,0.0,1,16.0,3,5,2,0,8.0,3,2,0,1,0,0,1
3397,175.67,21.0,1,23.0,2,3,3,1,8.0,3,2,0,1,0,1,0
852,120.28999999999999,0.0,1,32.0,4,3,2,0,0.0,2,3,1,0,0,1,0
4823,151.93,1.0,1,25.0,4,1,3,0,1.0,6,4,1,0,0,0,1
5388,189.3,15.0,2,11.0,6,4,8,0,3.0,6,2,0,1,0,1,0
3097,151.54,19.0,1,17.0,4,2,5,0,3.0,4,4,0,1,1,0,0
3344,177.04,13.0,2,9.0,5,2,10,0,5.0,4,2,1,0,1,0,0
1838,159.85,17.0,2,6.0,4,3,5,0,2.0,4,2,1,0,0,0,1
3736,159.2,18.0,1,27.0,4,4,3,0,4.0,4,4,0,1,0,0,1
5027,303.56,24.0,1,9.0,4,5,4,0,3.0,3,1,1,0,0,1,0
4917,222.25,8.0,3,7.0,2,1,2,0,0.0,5,2,0,1,0,1,0
3498,150.14,3.0,1,35.0,4,2,6,0,8.0,4,4,1,0,0,1,0
37,127.13,1.0,1,27.0,3,2,2,0,2.0,0,3,0,1,1,0,0
2378,174.46,0.0,1,7.0,1,4,2,0,7.0,4,0,1,0,0,0,1
5234,188.88,7.0,1,15.0,4,3,4,1,1.0,4,2,0,1,0,0,1
599,143.77,0.0,1,23.0,4,3,2,0,2.0,3,2,1,0,0,1,0
4624,199.91,11.0,1,7.0,4,1,6,0,3.0,2,0,1,0,0,0,1
81,123.28,0.0,1,14.0,2,4,2,1,2.0,4,3,0,1,0,1,0
907,136.46,2.0,1,8.0,4,5,3,1,0.0,4,4,1,0,0,0,1
331,215.57,0.0,3,13.0,4,2,10,0,0.0,4,0,0,1,0,1,0
5123,193.93,12.0,3,9.0,4,5,5,0,8.0,4,2,1,0,0,1,0
304,278.61,19.0,1,8.0,3,3,7,0,1.0,4,1,0,1,1,0,0
5288,180.62,10.0,1,13.0,2,5,5,1,3.0,4,2,0,1,0,1,0
3899,233.82999999999998,31.0,1,7.0,6,1,5,0,1.0,3,0,0,1,0,1,0
582,150.67,20.0,1,22.0,1,3,2,1,7.0,3,2,0,1,0,1,0
4568,290.55,26.0,1,11.0,4,1,4,0,5.0,4,1,1,0,0,1,0
4710,150.0,1.0,1,16.0,4,5,3,0,3.0,3,4,0,1,0,1,0
1225,165.0,0.0,3,8.0,1,3,1,0,7.0,3,2,1,0,0,0,1
1779,206.48000000000002,4.0,1,15.0,3,4,2,0,8.0,4,0,0,1,0,1,0
764,122.35,0.0,1,20.0,3,5,2,1,8.0,4,3,0,1,1,0,0
313,176.32,8.0,1,22.0,3,3,5,1,0.0,4,0,0,1,1,0,0
575,124.78999999999999,20.0,1,14.0,3,3,5,0,0.0,1,3,0,1,0,0,1
5339,179.33,8.0,1,10.0,4,4,3,0,10.0,4,2,1,0,0,1,0
1095,145.02,9.0,3,8.0,3,1,4,0,7.0,4,2,1,0,0,0,1
4871,149.04,1.0,1,17.0,5,5,8,1,1.0,4,4,1,0,0,0,1
1108,128.62,3.0,1,22.0,3,1,2,0,8.0,4,3,0,1,0,1,0
2399,204.66,22.0,1,13.0,3,4,4,0,7.0,4,0,0,1,0,1,0
2537,125.87,22.0,1,14.0,3,5,5,1,2.0,0,3,1,0,0,1,0
66,122.78999999999999,0.0,1,15.0,3,4,2,0,3.0,0,3,1,0,0,0,1
4046,168.93,15.0,3,15.0,4,4,7,0,5.0,5,2,1,0,0,1,0
5606,192.12,8.0,3,35.0,5,3,3,0,8.0,5,2,1,0,0,1,0
1257,130.65,4.0,1,9.0,3,5,2,1,3.0,0,3,0,1,0,1,0
3496,229.45,26.0,1,14.0,4,4,9,0,0.0,4,0,0,1,0,0,1
5190,232.93,5.0,3,15.0,4,1,3,0,10.0,4,0,0,1,0,1,0
2418,165.49,1.0,1,35.0,5,4,2,0,7.0,4,2,0,1,0,1,0
569,169.49,6.0,1,6.0,4,2,1,0,4.0,4,2,1,0,0,0,1
4461,137.0,1.0,3,17.0,5,3,3,0,1.0,3,4,1,0,0,0,1
5032,170.39,7.0,3,32.0,4,3,3,0,2.0,3,2,1,0,0,1,0
2888,190.53,12.0,1,9.0,4,3,11,0,1.0,4,2,0,1,1,0,0
4103,164.77,1.0,1,9.0,4,3,8,1,3.0,6,4,0,1,0,1,0
617,123.80000000000001,23.0,1,14.0,3,2,5,0,0.0,4,3,0,1,1,0,0
3453,147.2,8.0,3,17.0,4,3,3,1,1.0,4,4,1,0,1,0,0
211,121.19,0.0,1,14.0,5,5,2,1,7.0,6,3,0,1,1,0,0
1335,137.85,2.0,1,34.0,4,5,2,0,4.0,3,4,1,0,0,0,1
185,164.1,4.0,2,8.0,4,5,4,0,0.0,6,2,0,1,1,0,0
3269,168.81,8.0,1,9.0,5,5,3,0,4.0,3,4,1,0,0,0,1
5061,150.59,22.0,1,9.0,2,4,7,0,1.0,1,4,0,1,0,0,1
980,163.92,6.0,3,14.0,3,5,3,0,2.0,4,2,0,1,0,1,0
1072,127.28,0.0,3,15.0,3,5,2,0,2.0,4,3,0,1,0,0,1
5521,150.44,1.0,1,13.0,2,1,2,0,8.0,6,4,0,1,0,1,0
1240,110.91,0.0,3,30.0,1,5,2,0,0.0,2,4,0,1,0,0,1
1652,220.61,11.0,1,31.0,4,4,4,0,0.0,4,0,1,0,0,1,0
1737,294.06,27.0,1,11.0,3,5,5,0,2.0,3,5,0,1,0,1,0
3129,223.24,1.0,1,27.0,4,3,5,0,0.0,4,0,0,1,1,0,0
1511,124.50999999999999,14.0,1,14.0,3,3,5,0,8.0,4,3,0,1,0,1,0
2909,184.4,28.0,3,10.0,4,5,4,0,6.0,5,2,1,0,1,0,0
4586,150.64,4.0,1,9.0,4,1,2,0,8.0,3,4,1,0,0,0,1
3127,154.83,4.0,3,14.0,4,4,2,0,3.0,5,4,0,1,0,0,1
2392,143.73,6.0,3,13.0,3,5,1,0,3.0,3,2,0,1,0,1,0
2815,184.93,5.0,3,7.0,4,2,10,1,6.0,4,2,1,0,0,0,1
4210,178.81,12.0,1,7.0,5,3,11,1,1.0,4,0,0,1,0,0,1
1310,124.36000000000001,17.0,1,14.0,3,1,7,1,2.0,0,3,0,1,0,0,1
443,298.59,18.0,1,8.0,3,5,6,1,4.0,3,5,0,1,1,0,0
4169,177.37,10.0,1,34.0,4,3,8,0,8.0,3,2,0,1,0,1,0
1041,252.01999999999998,21.0,1,10.0,4,1,3,0,2.0,3,1,0,1,0,1,0
1231,143.93,14.0,3,14.0,3,4,6,0,4.0,5,2,1,0,0,1,0
1883,291.89,14.0,2,6.0,4,3,2,0,10.0,6,5,0,1,0,1,0
5106,215.94,4.0,3,32.0,5,4,4,1,0.0,5,0,0,1,0,0,1
4733,178.26,1.0,3,15.0,5,5,8,0,3.0,1,2,0,1,0,0,1
622,168.61,11.0,3,9.0,3,2,9,1,0.0,4,2,0,1,0,0,1
632,197.25,7.0,3,6.0,1,2,1,0,9.0,5,2,0,1,0,1,0
1916,143.64,0.0,1,6.0,5,1,4,0,0.0,4,4,1,0,0,1,0
863,154.67,14.0,1,28.0,3,2,4,1,3.0,4,2,1,0,0,1,0
2062,128.11,0.0,1,22.0,3,4,10,0,2.0,1,3,1,0,0,1,0
5297,153.14,1.0,1,33.0,5,3,3,1,4.0,6,4,1,0,0,1,0
1234,181.03,7.0,3,9.0,4,1,4,1,1.0,3,2,1,0,0,1,0
2042,121.57,0.0,3,26.0,3,1,2,0,2.0,2,3,1,0,0,1,0
236,122.13,0.0,1,16.0,2,3,4,1,7.0,4,3,1,0,1,0,0
1127,129.32,7.0,1,8.0,1,1,1,1,2.0,0,3,0,1,0,1,0
1792,147.17,8.0,3,6.0,3,3,10,0,9.0,5,2,0,1,0,1,0
2788,288.8,15.0,1,8.0,3,3,6,0,14.0,4,5,0,1,0,1,0
2386,184.63,1.0,3,11.0,3,5,1,0,3.0,3,2,0,1,0,0,1
2128,133.76,14.0,1,13.0,1,3,2,0,8.0,1,3,1,0,0,1,0
3267,152.82,11.0,1,17.0,4,5,2,1,4.0,4,4,1,0,0,1,0
822,184.46,15.0,3,11.0,3,4,10,1,7.0,4,0,0,1,0,0,1
327,148.05,18.0,3,8.0,3,4,1,0,7.0,6,2,0,1,1,0,0
468,152.28,9.0,1,6.0,3,4,1,0,5.0,6,2,1,0,1,0,0
757,202.52,9.0,1,6.0,5,5,3,1,7.0,2,0,1,0,0,1,0
5407,208.46,5.0,3,12.0,4,3,3,0,3.0,2,2,0,1,0,1,0
4367,146.53,10.0,1,25.0,4,1,3,0,8.0,3,4,1,0,0,0,1
1083,139.86,7.0,1,11.0,4,1,2,0,13.0,3,2,0,1,0,1,0
4076,153.67,1.0,1,7.0,4,5,2,0,7.0,3,4,0,1,0,0,1
1144,135.39,16.0,2,8.0,3,1,1,0,8.0,4,3,0,1,0,0,1
3782,146.32,19.0,1,35.0,4,1,6,0,4.0,1,4,0,1,0,1,0
778,166.23,2.0,1,13.0,3,2,2,1,0.0,4,2,0,1,0,1,0
1773,150.7,20.0,1,8.0,3,1,6,0,4.0,3,2,1,0,0,1,0
4593,215.71,6.0,3,17.0,5,1,4,1,0.0,5,0,1,0,0,1,0
3486,161.91,1.0,1,11.0,4,2,3,1,7.0,1,4,0,1,1,0,0
4195,151.45,17.0,1,9.0,2,3,3,0,5.0,3,4,1,0,0,1,0
3316,176.75,6.0,1,15.0,2,3,7,0,4.0,3,2,1,0,1,0,0
3044,172.36,4.0,3,32.0,4,3,9,1,3.0,1,2,1,0,1,0,0
2233,203.77,8.0,3,14.0,4,1,5,1,12.0,5,0,1,0,0,1,0
1704,196.99,9.0,3,9.0,4,1,5,0,12.0,3,0,0,1,0,1,0
1739,143.06,4.0,1,13.0,3,5,2,0,12.0,3,2,1,0,0,1,0
1287,137.48,3.0,1,6.0,3,4,2,0,7.0,3,4,0,1,0,1,0
1698,159.74,10.0,1,12.0,1,5,5,1,7.0,3,2,0,1,0,1,0
380,126.59,0.0,1,12.0,3,2,2,1,2.0,4,3,1,0,1,0,0
2662,123.78999999999999,0.0,1,14.0,3,1,1,1,2.0,4,3,1,0,0,0,1
564,129.73,0.0,1,10.0,3,5,2,0,0.0,1,3,0,1,0,0,1
2750,210.31,4.0,1,16.0,3,3,5,0,0.0,3,0,1,0,0,1,0
5418,146.09,3.0,1,11.0,5,5,3,0,1.0,1,4,1,0,0,1,0
1155,140.71,10.0,2,14.0,3,4,3,0,7.0,6,2,0,1,0,1,0
1867,146.8,10.0,1,16.0,1,1,4,0,0.0,4,4,0,1,0,0,1
2048,156.66,11.0,3,16.0,3,1,2,1,3.0,1,2,1,0,0,0,1
1044,135.17,0.0,1,14.0,1,3,8,0,2.0,3,3,1,0,0,1,0
3363,152.99,7.0,1,7.0,5,5,5,1,3.0,6,4,0,1,0,0,1
2889,187.61,12.0,1,36.0,4,2,5,0,8.0,1,2,0,1,1,0,0
2458,140.87,5.0,1,7.0,3,5,5,0,2.0,1,2,0,1,0,1,0
4536,174.36,25.0,3,21.0,4,1,6,0,8.0,4,2,1,0,0,1,0
4942,224.57,4.0,1,27.0,4,5,2,0,0.0,6,2,0,1,0,1,0
2557,129.29,7.0,1,25.0,4,1,2,0,7.0,4,3,1,0,0,1,0
3599,154.94,1.0,1,32.0,2,2,3,1,2.0,4,4,1,0,0,0,1
4730,167.58,26.0,1,26.0,4,1,2,0,3.0,3,4,0,1,0,1,0
1360,199.8,2.0,1,27.0,1,5,2,0,8.0,4,0,1,0,0,1,0
4886,166.48,5.0,1,7.0,4,5,3,0,4.0,4,2,1,0,0,1,0
149,132.3,0.0,1,9.0,4,3,2,0,0.0,0,3,0,1,0,0,1
1032,141.48,8.0,1,14.0,3,3,2,0,9.0,4,2,1,0,0,1,0
1744,122.18,0.0,1,6.0,4,5,2,0,2.0,4,3,0,1,0,1,0
4274,170.05,8.0,1,13.0,5,4,8,0,1.0,4,2,1,0,0,1,0
652,114.16,0.0,1,16.0,4,5,2,0,0.0,4,4,1,0,0,0,1
4041,296.74,22.0,1,29.0,4,1,5,0,8.0,3,1,1,0,0,1,0
3777,148.08,8.0,3,14.0,4,3,2,1,8.0,1,4,0,1,0,1,0
1966,162.01,9.0,3,6.0,3,1,2,1,11.0,4,2,0,1,0,1,0
5205,148.45,14.0,1,9.0,4,3,4,0,3.0,3,4,0,1,0,1,0
4958,148.13,1.0,1,32.0,5,4,6,1,3.0,3,4,0,1,0,0,1
1812,188.34,10.0,3,15.0,3,4,2,0,7.0,3,0,0,1,0,1,0
2397,112.74000000000001,0.0,1,13.0,3,3,2,0,0.0,2,4,0,1,0,1,0
5481,146.05,21.0,1,16.0,4,3,6,0,1.0,4,4,1,0,0,0,1
5427,165.01,8.0,3,17.0,4,3,3,1,8.0,4,2,0,1,0,1,0
3938,159.45,1.0,1,15.0,4,1,3,0,5.0,3,4,1,0,0,0,1
3470,212.22,1.0,1,31.0,5,5,3,0,0.0,2,0,0,1,0,0,1
2540,253.79000000000002,22.0,1,7.0,3,3,5,0,0.0,4,1,0,1,0,0,1
1442,142.21,1.0,3,10.0,3,3,2,0,4.0,3,2,0,1,0,1,0
442,162.74,7.0,3,8.0,3,2,2,0,4.0,6,2,0,1,0,0,1
3045,177.96,1.0,3,7.0,4,3,3,0,8.0,4,2,0,1,1,0,0
4981,256.2,23.0,3,15.0,5,4,8,0,4.0,2,1,0,1,0,1,0
3654,186.25,8.0,3,22.0,4,5,3,0,7.0,3,2,1,0,0,0,1
3976,158.77,14.0,1,9.0,4,5,6,0,3.0,4,4,1,0,0,1,0
4464,221.13,13.0,1,7.0,2,1,2,0,0.0,3,0,0,1,0,1,0
1101,134.33,5.0,1,16.0,3,3,7,0,3.0,4,3,0,1,0,1,0
4783,162.61,4.0,1,12.0,5,1,11,0,4.0,4,4,0,1,0,1,0
5342,168.74,10.0,1,8.0,5,3,2,0,3.0,3,2,1,0,0,1,0
4859,295.99,26.0,1,7.0,4,1,4,0,9.0,4,1,0,1,0,1,0
541,141.71,0.0,1,9.0,3,3,1,1,2.0,4,2,1,0,1,0,0
3459,145.07,1.0,1,7.0,5,3,3,0,4.0,3,4,1,0,0,1,0
3925,228.68,20.0,3,9.0,4,1,6,1,0.0,4,0,0,1,0,1,0
1885,122.16,0.0,1,6.0,5,4,8,1,7.0,4,3,1,0,0,0,1
4563,208.92,15.0,3,7.0,2,5,3,0,8.0,5,0,0,1,0,1,0
4995,168.23,9.0,2,15.0,4,3,3,0,5.0,1,4,0,1,0,0,1
2796,153.43,11.0,3,16.0,3,1,2,0,9.0,4,2,1,0,0,1,0
3915,292.04,19.0,1,35.0,5,4,3,0,7.0,2,1,1,0,0,0,1
578,156.66,11.0,3,16.0,3,2,2,1,3.0,1,2,1,0,0,0,1
4636,146.27,1.0,1,24.0,5,4,3,0,1.0,6,4,0,1,0,1,0
4030,181.73,10.0,3,17.0,5,3,3,1,8.0,1,2,1,0,0,1,0
239,134.52,10.0,1,16.0,3,5,7,0,3.0,0,3,1,0,1,0,0
4362,163.15,8.0,1,17.0,4,3,3,1,1.0,3,4,0,1,0,1,0
3481,220.82,1.0,3,11.0,4,5,2,1,0.0,2,0,0,1,0,0,1
1481,206.5,14.0,1,14.0,5,1,3,0,3.0,4,0,0,1,0,0,1
3944,170.07,23.0,3,18.0,4,1,5,0,5.0,5,2,1,0,0,0,1
5341,264.66,23.0,1,13.0,5,3,4,1,13.0,4,1,1,0,0,1,0
2256,111.18,0.0,3,30.0,5,1,2,1,0.0,4,4,0,1,0,0,1
195,144.78,0.0,3,8.0,3,3,2,1,4.0,4,2,0,1,0,0,1
2505,157.7,18.0,1,8.0,4,1,2,0,9.0,6,2,1,0,0,1,0
4740,150.72,9.0,3,15.0,4,1,3,0,3.0,4,4,1,0,0,1,0
5447,180.38,16.0,1,20.0,2,5,7,0,1.0,3,2,0,1,0,1,0
1396,134.41,0.0,1,11.0,3,3,2,1,2.0,1,3,0,1,0,0,1
3484,202.56,8.0,1,10.0,4,2,2,0,5.0,4,2,0,1,0,0,1
4874,298.99,24.0,1,7.0,4,1,11,0,4.0,3,1,0,1,0,1,0
574,270.99,25.0,1,6.0,3,2,3,0,8.0,4,1,0,1,1,0,0
311,134.08,0.0,1,16.0,5,2,8,0,3.0,0,3,0,1,0,1,0
1034,150.42,12.0,1,10.0,3,3,1,0,8.0,3,2,1,0,0,0,1
3174,179.6,5.0,3,13.0,3,2,6,0,8.0,3,2,0,1,0,1,0
3799,217.5,4.0,3,36.0,4,4,5,0,0.0,2,0,0,1,0,1,0
3545,189.74,11.0,1,7.0,5,2,3,0,12.0,4,2,1,0,1,0,0
44,130.38,5.0,1,12.0,3,3,4,0,4.0,4,3,0,1,0,0,1
5310,177.08,9.0,1,25.0,2,5,3,0,11.0,4,2,0,1,0,1,0
3040,151.96,16.0,2,9.0,4,3,2,1,1.0,1,4,0,1,0,1,0
3431,308.03,16.0,3,12.0,4,3,8,0,1.0,5,5,0,1,1,0,0
2935,261.75,5.0,1,10.0,4,3,11,0,3.0,3,0,0,1,0,1,0
4344,169.5,27.0,1,20.0,2,5,3,0,4.0,3,2,1,0,0,1,0
4410,225.48,1.0,1,17.0,4,3,8,0,0.0,3,0,0,1,0,1,0
2679,147.74,0.0,1,21.0,4,5,1,0,3.0,4,4,1,0,0,1,0
5604,148.39,20.0,1,14.0,4,3,10,0,9.0,1,4,0,1,0,1,0
929,204.66,22.0,1,13.0,3,4,4,0,7.0,4,0,0,1,0,1,0
1469,161.72,0.0,3,12.0,5,3,5,1,7.0,4,2,0,1,0,1,0
539,165.86,9.0,1,20.0,3,2,1,1,11.0,4,2,0,1,1,0,0
4080,148.67,1.0,1,24.0,5,1,7,0,4.0,1,4,0,1,0,1,0
1073,153.68,6.0,3,22.0,3,1,2,1,2.0,4,2,1,0,0,1,0
414,138.75,23.0,3,14.0,3,4,8,0,2.0,5,4,0,1,1,0,0
3682,234.2,13.0,1,32.0,4,3,5,0,6.0,4,0,0,1,1,0,0
329,142.62,2.0,1,25.0,3,2,5,0,2.0,1,2,0,1,0,1,0
1412,197.24,18.0,1,13.0,3,5,3,0,0.0,4,0,0,1,0,1,0
1971,151.75,5.0,1,14.0,1,3,6,0,3.0,3,2,1,0,0,1,0
4816,152.95,1.0,1,32.0,4,1,3,1,2.0,4,4,0,1,0,0,1
3873,193.42,10.0,1,10.0,2,5,8,0,5.0,4,2,0,1,0,1,0
1327,167.28,13.0,3,6.0,3,3,8,0,1.0,4,2,0,1,0,1,0
4068,175.87,16.0,3,19.0,4,1,5,1,1.0,5,2,0,1,0,1,0
363,140.89,15.0,1,8.0,3,2,2,0,2.0,4,2,1,0,1,0,0
1905,151.21,7.0,1,14.0,3,5,4,0,0.0,4,2,1,0,0,1,0
5199,152.42,1.0,2,16.0,4,3,3,0,3.0,1,4,1,0,0,1,0
3916,159.33,6.0,1,17.0,4,3,8,0,4.0,4,4,0,1,0,1,0
4929,145.07,1.0,1,7.0,5,3,3,0,4.0,3,4,1,0,0,1,0
3310,150.59,9.0,1,34.0,5,5,3,0,2.0,3,4,1,0,0,0,1
2119,267.56,28.0,1,8.0,4,5,8,0,2.0,3,1,0,1,0,0,1
791,287.89,19.0,3,10.0,4,4,3,0,8.0,5,5,1,0,1,0,0
3084,168.06,5.0,1,14.0,4,5,3,0,13.0,3,2,1,0,1,0,0
4613,152.41,1.0,2,24.0,4,3,2,1,1.0,4,4,1,0,0,1,0
2171,128.44,11.0,2,6.0,1,3,2,0,0.0,6,3,0,1,0,1,0
1591,129.11,6.0,1,11.0,4,1,2,0,2.0,4,3,1,0,0,1,0
5071,136.18,1.0,3,31.0,6,1,3,1,1.0,4,4,0,1,0,0,1
3852,228.06,1.0,3,17.0,5,5,11,0,0.0,3,0,0,1,0,1,0
1884,138.75,23.0,3,14.0,3,4,8,0,2.0,5,4,0,1,0,1,0
5264,149.51,3.0,1,16.0,2,3,8,0,1.0,4,4,0,1,0,1,0
813,123.72,30.0,1,14.0,3,3,2,0,2.0,4,3,0,1,0,1,0
981,197.14,0.0,3,6.0,4,5,2,0,7.0,4,2,0,1,0,1,0
908,174.46,0.0,1,6.0,1,4,2,0,7.0,4,0,1,0,0,0,1
5479,171.48,6.0,3,17.0,4,1,10,0,1.0,5,2,0,1,0,0,1
1342,161.42,0.0,1,10.0,1,4,2,1,3.0,4,2,0,1,0,1,0
4838,147.59,22.0,1,27.0,4,3,6,0,1.0,3,4,0,1,0,1,0
3630,164.04,3.0,1,30.0,4,5,2,0,4.0,3,4,0,1,0,0,1
